TRADE_DT,UNDLY,CLS,EXPR_DT,STRK_PRC,PC,OIT,VOL,HIGH,LOW,OPEN,LAST,L_BID,L_ASK,UNDL_PRC,S_TYPE,P_TYPE
20140303,SPX,SPX,20140322,1440.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,402.0000,404.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1445.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,397.0000,399.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1450.0000,C,858.0000,0.0000,0.0000,0.0000,0.0000,0.0000,392.0000,394.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1455.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,387.0000,389.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1460.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,382.0000,384.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1465.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,377.0000,379.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1470.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,372.0000,374.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1475.0000,C,95.0000,0.0000,0.0000,0.0000,0.0000,0.0000,367.0000,369.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1480.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,362.0000,364.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1485.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,357.0000,359.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1490.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,352.1000,354.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1495.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,347.1000,349.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1500.0000,C,8597.0000,2.0000,347.4200,347.4200,347.4200,347.4200,342.1000,344.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1505.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,337.1000,339.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1510.0000,C,101.0000,0.0000,0.0000,0.0000,0.0000,0.0000,332.1000,334.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1515.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,327.1000,329.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1520.0000,C,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,322.1000,324.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1525.0000,C,2010.0000,0.0000,0.0000,0.0000,0.0000,0.0000,317.1000,319.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1530.0000,C,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,312.2000,314.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1535.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,307.2000,309.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1540.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,302.2000,304.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1545.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,297.2000,299.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1550.0000,C,27030.0000,0.0000,0.0000,0.0000,0.0000,0.0000,292.2000,294.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1555.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,287.3000,289.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1560.0000,C,101.0000,0.0000,0.0000,0.0000,0.0000,0.0000,282.3000,285.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1565.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,277.3000,280.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1570.0000,C,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,272.3000,275.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1575.0000,C,6329.0000,0.0000,0.0000,0.0000,0.0000,0.0000,267.3000,270.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1580.0000,C,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,262.4000,265.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1585.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,257.4000,260.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1590.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,252.4000,255.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1595.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,247.5000,250.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1600.0000,C,12657.0000,7.0000,247.8700,242.2300,247.8700,242.2300,242.5000,245.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1605.0000,C,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,237.5000,240.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1610.0000,C,38.0000,0.0000,0.0000,0.0000,0.0000,0.0000,232.6000,235.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1615.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,227.6000,230.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1620.0000,C,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,222.6000,225.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1625.0000,C,14601.0000,0.0000,0.0000,0.0000,0.0000,0.0000,217.7000,220.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1630.0000,C,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,212.7000,215.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1635.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,207.7000,210.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1640.0000,C,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,202.8000,205.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1645.0000,C,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,197.8000,200.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1650.0000,C,19897.0000,7.0000,194.1000,192.7800,193.6000,192.7800,187.0000,201.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1655.0000,C,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,181.9000,197.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1660.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,177.6000,192.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1665.0000,C,93.0000,0.0000,0.0000,0.0000,0.0000,0.0000,173.1000,187.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1670.0000,C,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,167.4000,182.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1675.0000,C,11910.0000,33.0000,169.5000,162.4000,165.0000,169.5000,162.5000,177.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1680.0000,C,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.6000,172.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1685.0000,C,19.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153.4000,167.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1690.0000,C,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,147.5000,162.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1695.0000,C,16.0000,0.0000,0.0000,0.0000,0.0000,0.0000,142.9000,158.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1700.0000,C,19106.0000,6.0000,145.0000,136.2000,145.0000,141.1700,138.8000,153.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1705.0000,C,26.0000,0.0000,0.0000,0.0000,0.0000,0.0000,133.0000,148.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1710.0000,C,303.0000,0.0000,0.0000,0.0000,0.0000,0.0000,128.2000,143.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1715.0000,C,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,123.1000,138.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1720.0000,C,166.0000,0.0000,0.0000,0.0000,0.0000,0.0000,119.4000,133.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1725.0000,C,20173.0000,1.0000,119.5000,119.5000,119.5000,119.5000,114.4000,129.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1730.0000,C,761.0000,2.0000,111.6000,111.6000,111.6000,111.6000,109.8000,124.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1735.0000,C,6762.0000,0.0000,0.0000,0.0000,0.0000,0.0000,104.3000,119.2000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1740.0000,C,10699.0000,0.0000,0.0000,0.0000,0.0000,0.0000,101.8000,111.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1745.0000,C,14734.0000,0.0000,0.0000,0.0000,0.0000,0.0000,97.5000,106.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1750.0000,C,57707.0000,1.0000,93.0500,93.0500,93.0500,93.0500,92.8000,102.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1755.0000,C,5137.0000,0.0000,0.0000,0.0000,0.0000,0.0000,89.0000,98.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1760.0000,C,9615.0000,1.0000,85.5000,85.5000,85.5000,85.5000,83.5000,92.9000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1765.0000,C,12331.0000,0.0000,0.0000,0.0000,0.0000,0.0000,79.8000,88.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1770.0000,C,18028.0000,152.0000,81.5000,74.9500,81.0000,74.9500,76.0000,83.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1775.0000,C,52014.0000,22.0000,77.6000,74.0000,77.6000,74.0000,70.0000,79.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1780.0000,C,22332.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.5000,75.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1785.0000,C,21683.0000,15.0000,68.1000,65.1000,68.1000,65.1000,61.5000,70.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1790.0000,C,19285.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.7000,62.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1795.0000,C,29842.0000,516.0000,59.7000,51.3000,59.7000,51.3000,56.1000,58.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1800.0000,C,117389.0000,3047.0000,56.8000,46.9500,52.1000,54.0000,52.0000,54.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1805.0000,C,18399.0000,1.0000,49.9000,49.9000,49.9000,49.9000,48.0000,50.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1810.0000,C,22437.0000,22.0000,46.4000,41.1000,43.9500,41.1000,44.0000,46.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1815.0000,C,25780.0000,3.0000,42.6200,36.1500,42.6200,36.1500,40.2000,42.5000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1820.0000,C,33290.0000,120.0000,38.0000,32.3500,35.6000,38.0000,36.5000,38.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1825.0000,C,142108.0000,3156.0000,37.0000,28.1000,33.7500,34.6000,32.9000,35.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1830.0000,C,49776.0000,380.0000,32.5000,25.6500,31.0000,32.5000,29.5000,31.4000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1835.0000,C,41889.0000,1138.0000,26.5000,22.9500,26.2000,26.5000,26.2000,28.0000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1840.0000,C,58310.0000,20195.0000,25.8000,19.4000,23.3000,23.4000,23.1000,24.1000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1845.0000,C,29175.0000,10749.0000,26.0000,18.1000,21.0000,21.0000,20.2000,21.7000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1850.0000,C,96838.0000,5213.0000,20.3000,15.0000,18.4000,16.7000,17.4000,18.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1855.0000,C,8690.0000,2875.0000,16.9200,12.6000,16.5000,16.0000,14.9000,16.3000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1860.0000,C,25658.0000,4337.0000,14.8500,10.4500,14.1600,13.0000,12.5000,13.8000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1865.0000,C,11599.0000,91.0000,12.0500,9.1400,11.8500,10.2500,10.4000,11.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1870.0000,C,19384.0000,3099.0000,10.5500,7.3000,8.4000,9.4000,8.6000,9.6000,1845.7300,Standard,Index
20140303,SPX,SPX,20140322,1875.0000,C,56052.0000,2617.0000,8.2600,5.5000,7.2000,7.7500,6.9000,7.9000,1845.7300,Standard,Index
