,q1c,q1cstd,q1high,q1low,q1range,q1middle,q0c,q0cstd,q0high,q0low,q0spanmean,q0spanstd,q0lixt,q0lixc72,q0lixc288,q0lixd,q0lixm,q0lixtv,q0lixc72v,q0lixc288v,q0lixdv,q0lixmv,m0c,m0cstd,m0high,m0low,m0spanmean,m0spanstd,m0lixt,m0lixc72,m0lixc288,m0lixd,m0lixm,m0lixtv,m0lixc72v,m0lixc288v,m0lixdv,m0lixmv
1994-09-16,2.778926758012279,0.5521721731266751,3.843385236265995,-3.4136808067688817,7.257066043034877,0.2148522147485563,-2.6769392434084827,0.6934003179598234,0.4158772189731974,-0.5188813570700239,0.9408403749553221,0.45496335680431005,17.709395258507097,0.0,0.0,-9.072735812069254,1.0,-2.7274599450164168,0.0,0.0,3.7257916747126867,0.0,0.7759605914015477,0.34769182211751687,0.2598569279793439,-0.37681876606863784,0.6393743666953622,0.20838279252509923,0.338483947242642,-0.7967386006697663,-0.7967386006697663,-0.009674866454800757,0.0,0.824256069758557,-0.22552829053196222,-0.7334546539369158,-0.7481349511754054,1.0
1994-06-17,-2.6769392434084827,0.6934003179598234,0.0,-6.822907909820408,6.822907909820408,-3.411453954910204,1.0034735623311475,0.5298455068850423,0.30416489987026873,-0.3953108598143583,0.7026206049527219,0.3596543260161407,20.436855203523514,0.0,0.0,-12.798527486781941,1.0,-0.21109929312011744,0.0,0.0,0.9580700818181747,0.0,0.7205627659347069,0.5053209761423937,0.32431094373477243,-0.49075255986669114,0.8196192934176759,0.31116107512815905,2.2347278257808547,0.0,0.0,-1.9034417958428307,1.0,0.3826557658212588,-0.49128129892545,-0.49128129892545,-0.45616445249490045,0.0
1994-03-18,1.0034735623311475,0.5298455068850423,3.34920022299412,-0.722584587675279,4.071784810669399,1.3133078176594202,1.6454918302092558,0.4506355163457161,0.2928458849262781,-0.3556762073777795,0.6512395044718149,0.30051710193772657,20.64795449664363,0.0,0.0,-13.756597568600116,1.0,-2.023101920724738,0.0,0.0,0.5449581693530714,0.0,0.8171184432097078,0.36203020055367546,0.25465633690060274,-0.30908800459204194,0.5656283916411032,0.21540862367026112,3.011235738456586,0.0,0.0,-2.5930773253687533,1.0,-0.6714105370531485,0.0,0.0,-0.25995066446216075,0.0
1993-12-17,1.6454918302092558,0.4506355163457161,2.3254822554210186,-1.2815160578322216,3.60699831325324,0.5219830987943985,3.414623228782543,0.458410166226423,0.2677832460088563,-0.363599078873862,0.6340897518689232,0.2552243432300499,22.67105641736837,0.0,0.0,-14.301555737953187,1.0,2.8375280468585764,0.0,0.0,-1.0556105484147427,0.0,0.5853187478077837,0.4280965367406796,0.24519938437716826,-0.4177647201727191,0.6663152936434756,0.25233790974792764,3.2561986698779646,0.0580297544776176,0.0580297544776176,-3.0322264945798483,1.0,-0.9776192249789539,0.0580297544776176,0.0580297544776176,0.20964082249137483,0.0
1993-09-17,3.414623228782543,0.458410166226423,4.480709170589381,-0.5071222617003768,4.987831432289758,1.986793454444502,-1.443866929758475,0.6055368940157888,0.38775703520141924,-0.41125858901521917,0.8031291814998416,0.40161098043092835,19.833528370509793,0.0,0.0,-13.245945189538444,1.0,0.18096817190772185,0.0,0.0,2.9829350488804653,0.0,-0.4844809797236671,0.5135452274298519,0.37631709483443965,-0.35128555817926177,0.73046776927586,0.2825515254550136,1.0586758456657543,0.0,0.0,-1.6153439268749237,0.0,-2.4313569702571334,0.20149222067704642,0.20149222067704642,1.0872539996522157,-1.0
1993-06-18,-1.443866929758475,0.6055368940157888,0.815233924546499,-3.6962948975142074,4.511528822060706,-1.440530486483854,2.016857777374903,0.624889249982296,0.34988597359106866,-0.43924976753447487,0.793429208391113,0.43073801568616477,19.65256019860207,0.0,0.0,-16.22888023841891,1.0,0.2847074971087551,0.0,0.0,0.0730749654192806,0.0,3.675553866703507,0.709305922472701,0.29836521403875327,-0.5387380833423769,0.843319811996407,0.40970226527070114,5.542215580096761,0.0,0.0,-4.7780929005921795,1.0,3.3171646651476827,0.0,0.0,-2.578872733055993,0.0
1993-03-19,2.016857777374903,0.624889249982296,3.410530728788985,-2.771485224800574,6.182015953589559,0.31952275199420566,4.338781934097424,0.5729110130549238,0.31026875653930475,-0.46665789529650453,0.7818940326005981,0.4478147067569987,19.367852701493316,0.0,0.0,-16.30195520383819,1.0,-1.3964701780694995,0.0,0.0,-1.8247620113404501,0.0,3.429042621095557,0.4631020581156107,0.21844154851921704,-0.43310715482751727,0.6550083028719046,0.2405579141519045,6.286989071082447,0.0,0.0,-5.68054070597409,1.0,2.6078483925248244,0.0,0.0,-2.375976157187853,0.0
1992-12-18,4.338781934097424,0.5729110130549238,4.338781934097424,-4.792753051161014,9.131534985258439,-0.22698555853179503,4.771218946881883,0.5656963259774149,0.31309451542288724,-0.45284731855791854,0.7699969719561555,0.3422993340676755,20.764322879562815,0.0,0.0,-14.47719319249774,1.0,0.39178687110538135,0.0,0.0,-2.0008182269563815,0.0,1.947687068875803,0.6102649199188551,0.3773079894788878,-0.40166520057490107,0.7825469683614573,0.3612276769505755,3.853568323438845,0.0,0.0,-3.061727778240275,1.0,0.23974840705505862,0.0,0.0,-1.3042037896008774,0.0
1992-09-18,4.771218946881883,0.5656963259774149,5.350900355466104,-0.1362523809980254,5.487152736464129,2.6073239872340395,-1.855088788113024,0.6957381022862599,0.4122422115316916,-0.4592136470603466,0.8761472021812902,0.3828141288017544,20.372536008457434,0.0,0.0,-12.476374965541359,1.0,-6.337196219284692,0.0,0.0,3.7893650978363187,0.0,-2.499874462583318,0.6075761101460017,0.4478297757009231,-0.3588631425488719,0.8098772716981129,0.2788566289834058,0.18526444255189936,0.0,0.0,-0.30571855941048387,0.0,-2.161854908863838,0.0,0.6729722357930901,2.773342163939352,-1.0
1992-06-19,-1.855088788113024,0.6957381022862599,1.7481157731124686,-4.0846074418820155,5.832723214994484,-1.1682458343847735,6.2680806565708735,0.7414307270867585,0.3951132725546415,-0.5824438045869249,0.984798077668211,0.4628887404683881,26.709732227742126,0.0,0.0,-16.265740063377677,1.0,4.880394803272434,0.0,0.0,-2.5851083935251946,0.0,-0.03159711327800352,0.5041929925864439,0.3826170607628079,-0.39886659685508274,0.7848319425900822,0.24621086155957067,5.822497345906628,0.0,0.0,-3.856499016279069,1.0,-2.3136227277847095,0.0,0.0,1.0759986574545133,0.0
