,date,o,h,l,close,vol,c,lixt,lixc72,lixc288,lixd,lixm
120,2014-12-26,2084.300049,2092.699951,2084.300049,2088.77002,1735230000,2088.77002,7.73052781419,0.0,0.0,-6.21129492311,1
121,2014-12-24,2083.25,2087.560059,2081.860107,2081.879883,1416980000,2081.879883,7.5094465921,0.0,0.0,-5.97094044003,1
122,2014-12-23,2081.47998,2086.72998,2079.77002,2082.169922,3043950000,2082.169922,7.69685448695,0.0,0.0,-6.05392389002,1
123,2014-12-22,2069.280029,2078.76001,2069.280029,2078.540039,3369520000,2078.540039,7.65841935251,0.0,0.0,-5.95922944473,1
124,2014-12-19,2061.040039,2077.850098,2061.030029,2070.649902,6465530000,2070.649902,7.28530617257,0.0,0.0,-5.66736668533,1
125,2014-12-18,2018.97998,2061.22998,2018.97998,2061.22998,4703380000,2061.22998,6.9108991445,0.0,0.0,-5.30017208456,1
126,2014-12-17,1973.77002,2016.75,1973.77002,2012.890015,4942370000,2012.890015,4.34724614808,0.0,0.0,-3.08306203326,1
127,2014-12-16,1986.709961,2016.890015,1972.560059,1972.73999,4958680000,1972.73999,2.24277625674,1.55402580765,1.18860499251,-1.14649989694,0
128,2014-12-15,2005.030029,2018.689941,1982.26001,1989.630005,4361990000,1989.630005,3.00390560776,0.687900047527,0.687900047527,-2.00019360211,1
129,2014-12-12,2030.359985,2032.25,2002.329956,2002.329956,4157650000,2002.329956,3.54677286097,0.0,0.0,-2.64344210978,1
130,2014-12-11,2027.920044,2055.530029,2027.920044,2035.329956,3917950000,2035.329956,5.10234936045,0.0,0.0,-4.24593263501,1
131,2014-12-10,2058.860107,2058.860107,2024.26001,2026.140015,4114440000,2026.140015,4.46409949694,0.0,0.0,-3.8510128439,1
132,2014-12-09,2056.550049,2060.600098,2034.170044,2059.820068,3970150000,2059.820068,6.14760217375,0.0,0.0,-5.45981748295,1
133,2014-12-08,2074.840088,2075.780029,2054.27002,2060.310059,3800990000,2060.310059,6.12658657814,0.0,0.0,-5.53590628293,1
134,2014-12-05,2072.780029,2079.469971,2070.810059,2075.370117,3419620000,2075.370117,6.87039749614,0.0,0.0,-6.27390332346,1
135,2014-12-04,2073.639893,2077.340088,2062.340088,2071.919922,3408340000,2071.919922,6.71344594365,0.0,0.0,-6.17892580496,1
136,2014-12-03,2067.449951,2076.280029,2066.649902,2074.330078,3612680000,2074.330078,6.96771528181,0.0,0.0,-6.34974683185,1
137,2014-12-02,2053.77002,2068.77002,2053.77002,2066.550049,3686650000,2066.550049,6.77693187993,0.0,0.0,-6.06412232796,1
138,2014-12-01,2065.780029,2065.780029,2049.570068,2053.439941,4159010000,2053.439941,6.2578852289,0.106449810049,0.106449810049,-5.52736346549,1
139,2014-11-28,2074.780029,2075.76001,2065.060059,2067.560059,2504640000,2067.560059,7.21661010914,0.0,0.0,-6.23317890452,1
140,2014-11-26,2067.360107,2073.290039,2066.620117,2072.830078,2745260000,2072.830078,7.75141027646,0.0,0.0,-6.53937439831,1
141,2014-11-25,2070.149902,2074.209961,2064.75,2067.030029,3392940000,2067.030029,7.65056644327,0.0,0.0,-6.34697913346,1
142,2014-11-24,2065.070068,2070.169922,2065.070068,2069.409912,3128060000,2069.409912,7.95781536152,0.0,0.0,-6.52320380128,1
143,2014-11-21,2057.459961,2071.459961,2056.75,2063.5,3916420000,2063.5,7.79980652946,0.0,0.0,-6.32734851981,1
144,2014-11-20,2045.869995,2053.840088,2040.48999,2052.75,3128290000,2052.75,7.43475422405,0.0,0.0,-5.90851873057,1
145,2014-11-19,2051.159912,2052.139893,2040.369995,2048.719971,3390850000,2048.719971,7.39996295667,0.0,0.0,-5.79423965526,1
146,2014-11-18,2041.47998,2056.080078,2041.47998,2051.800049,3416190000,2051.800049,7.74059983593,0.0,0.0,-6.00512730599,1
147,2014-11-17,2038.290039,2043.069946,2034.459961,2041.319946,3152890000,2041.319946,7.37935562686,0.0,0.0,-5.59344578581,1
148,2014-11-14,2039.73999,2042.219971,2035.199951,2039.819946,3227130000,2039.819946,7.47921464395,0.0,0.0,-5.59085098349,1
149,2014-11-13,2039.209961,2046.180054,2030.439941,2039.329956,3455270000,2039.329956,7.64360759608,0.0,0.0,-5.63701153507,1
150,2014-11-12,2037.75,2040.329956,2031.949951,2038.25,3246650000,2038.25,7.65888133154,0.0,0.0,-5.65177253262,1
151,2014-11-11,2038.199951,2041.280029,2035.280029,2039.680054,2958320000,2039.680054,7.75953805239,0.0,0.0,-5.7837207258,1
152,2014-11-10,2032.01001,2038.699951,2030.170044,2038.26001,3284940000,2038.26001,7.63446387373,0.0,0.0,-5.78187544378,1
153,2014-11-07,2032.359985,2034.26001,2025.069946,2031.920044,3704280000,2031.920044,7.28110453648,0.0,0.0,-5.5521594438,1
154,2014-11-06,2023.329956,2031.609985,2015.859985,2031.209961,3669770000,2031.209961,7.24506627432,0.0,0.0,-5.58183425705,1
155,2014-11-05,2015.290039,2023.77002,2014.420044,2023.569946,3766590000,2023.569946,6.77128332476,0.0,0.0,-5.2864163162,1
156,2014-11-04,2015.810059,2015.97998,2001.01001,2012.099976,3956260000,2012.099976,6.28890696422,0.0,0.0,-4.81014475165,1
157,2014-11-03,2018.209961,2024.459961,2013.680054,2017.810059,3555440000,2017.810059,6.64596663947,0.0,0.0,-5.13595563169,1
158,2014-10-31,2001.199951,2018.189941,2001.199951,2018.050049,4292290000,2018.050049,6.76309133592,0.0,0.0,-5.20599636604,1
159,2014-10-30,1979.48999,1999.400024,1974.75,1994.650024,3586150000,1994.650024,5.65002710484,0.0,0.0,-4.15552226502,1
160,2014-10-29,1983.290039,1991.400024,1969.040039,1982.300049,3740350000,1982.300049,5.07263115682,-0.800282796685,-0.800282796685,-3.60841158224,1
161,2014-10-28,1964.140015,1985.050049,1964.140015,1985.050049,3653260000,1985.050049,5.37134925922,-0.927141143793,-0.927141143793,-3.7884261084,1
162,2014-10-27,1962.969971,1964.640015,1951.369995,1961.630005,3538860000,1961.630005,4.13790610781,0.0,0.0503402850129,-2.68645945641,0
163,2014-10-24,1951.589966,1965.27002,1946.27002,1964.579956,3078380000,1964.579956,4.23258729621,-1.38767775991,-1.38767775991,-2.86247171179,1
