C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,12:00:00,REGULAR,0004704109,0001026674                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,16:00:00,REGULAR,0004704444,0001026729                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/02/2015,20:00:00,REGULAR,0004705194,0001026784                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,00:00:00,REGULAR,0004705479,0001026815                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,04:00:00,REGULAR,0004705496,0001026816                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,08:00:00,REGULAR,0004705515,0001026838                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,12:00:00,REGULAR,0004705650,0001026931                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,16:00:00,REGULAR,0004705860,0001026988                                     
A002,R051,02-00-01,LEXINGTON AVE,NQR456,BMT,04/03/2015,20:00:00,REGULAR,0004706315,0001027044                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,00:00:00,REGULAR,0000470062,0001774269                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,04:00:00,REGULAR,0000470080,0001774298                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,08:00:00,REGULAR,0000470084,0001774366                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,12:00:00,REGULAR,0000470139,0001774734                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,16:00:00,REGULAR,0000470283,0001775148                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/28/2015,20:00:00,REGULAR,0000470435,0001775629                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,00:00:00,REGULAR,0000470511,0001775858                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,04:00:00,REGULAR,0000470529,0001775901                                     
A002,R051,02-03-00,LEXINGTON AVE,NQR456,BMT,03/29/2015,08:00:00,REGULAR,0000470533,0001775945                                     
